Student_id,pred_label,P_low,P_med,P_high,P_category_drop,Stress Coping Mechanisms,recommendations
3616,Medium,2.3200110505216072e-14,0.99999990809337,9.190660667569176e-08,2.3200110505216072e-14,Travelling,"Meditation,Reading,Yoga,Watching Sports,Talking to Friends"
2467,High,0.2362690661611035,0.235505148274727,0.5282257855641693,0.47177421443583045,Social Media Engagement,"Spending Time Alone,Watching Sports,Exercise,Reading,Yoga"
377,High,0.2332981574361471,0.2409561399602889,0.525745702603564,0.474254297396436,Spending Time Alone,"Travelling,Reading,Talking to Friends,Social Media Engagement,Walking or Nature Walks"
1315,High,0.2423544975068005,0.2363255226914675,0.5213199798017318,0.478680020198268,Reading,"Watching Sports,Talking to Friends,Social Media Engagement,Yoga,Meditation"
5096,High,0.2804038853764331,0.2201589873457482,0.4994371272778184,0.5005628727221814,Reading,"Meditation,Travelling,Yoga,Watching Sports,Exercise"
4151,Low,0.9999998272755346,6.860930104109618e-08,1.0411516428068997e-07,0.0,Meditation,"Watching Sports,Yoga,Talking to Friends,Social Media Engagement,Spending Time Alone"
4144,High,0.2340485005338377,0.2439789084127376,0.5219725910534244,0.47802740894657525,Meditation,"Social Media Engagement,Spending Time Alone,Yoga,Travelling,Walking or Nature Walks"
736,High,0.2115168221284442,0.2206213305065587,0.567861847364997,0.4321381526350029,Travelling,"Reading,Spending Time Alone,Social Media Engagement,Meditation,Walking or Nature Walks"
2546,High,0.2462746297517795,0.2342456097089443,0.5194797605392762,0.4805202394607238,Watching Sports,"Meditation,Talking to Friends,Reading,Spending Time Alone,Exercise"
2920,High,0.2391536896965211,0.2367694278760661,0.5240768824274126,0.4759231175725872,Walking or Nature Walks,"Yoga,Watching Sports,Exercise,Spending Time Alone,Travelling"
2825,High,0.2552913733038722,0.2339245916444095,0.5107840350517182,0.4892159649482817,Talking to Friends,"Spending Time Alone,Watching Sports,Yoga,Walking or Nature Walks,Social Media Engagement"
1795,High,0.2347179153126198,0.2357377561978251,0.529544328489555,0.4704556715104449,Walking or Nature Walks,"Watching Sports,Meditation,Spending Time Alone,Yoga,Social Media Engagement"
4407,High,3.727835624276214e-14,3.1809062227140284e-14,0.9999999999999308,6.908741846990243e-14,Talking to Friends,"Travelling,Exercise,Meditation,Social Media Engagement,Reading"
5215,High,3.7832264127333223e-14,3.1142383063102695e-14,0.999999999999931,6.897464719043592e-14,Social Media Engagement,"Talking to Friends,Watching Sports,Reading,Spending Time Alone,Meditation"
